name,address,cuisine,average_price,rating,reviews,offer,url,is_excluded
Papaya,"161 Northfield Avenue, W13 9QT, London",Indian,25,9.2,203,30,https://www.thefork.co.uk/restaurant/papaya-r824750#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
La Cucina Di Daffy 2,"10 Theobalds Road, WC1X 8PN, London",Italian,25,9.1,327,30,https://www.thefork.co.uk/restaurant/la-cucina-di-daffy-2-r752343#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Pane Cunzato - pizza & more,"49 Museum Street, WC1A 1LY, London",Italian,18,9.1,2690,30,https://www.thefork.co.uk/restaurant/pane-cunzato-pizza-more-r691797#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Monsoon,"78 Brick Lane, Shadwell, London E1 6RL, UK, E1 6RL, London",Indian,17,9.1,341,30,https://www.thefork.co.uk/restaurant/the-monsoon-r622093#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Pizza And Grill Wood Oven Pizza,"16A Coldharbour Lane, SE5 9PR, London",International,25,7.1,4,50,https://www.thefork.co.uk/restaurant/pizza-and-grill-wood-oven-pizza-r856265#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Ishtar Restaurant,"10-12 Crawford Street, W1U 6AZ, London",Mediterranean,45,9.3,254,20,https://www.thefork.co.uk/restaurant/ishtar-restaurant-r809097#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Jalisco - Loughborough Junction,"234 Coldharbour Lane, SW9 8SD, London",Mexican,18,9.3,105,20,https://www.thefork.co.uk/restaurant/jalisco-loughborough-junction-r800517#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Thirteen LDN,"1-3 Denmark Street, WC2H 8LP, London",Asian,25,9.3,138,20,https://www.thefork.co.uk/restaurant/thirteen-ldn-r754753#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Lima Cantina,"14 Garrick Street, WC2E 9BJ, London",Peruvian,32,9.2,484,20,https://www.thefork.co.uk/restaurant/lima-cantina-r639461#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Auberge - Waterloo,"1 Sandell Street, SE1 8UH, London",French,34,8.3,311,50,https://www.thefork.co.uk/restaurant/auberge-waterloo-r595723#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Fulham Indian,"146 Wandsworth Bridge Road, SW6 2UH, London",Indian,25,9.6,59,20,https://www.thefork.co.uk/restaurant/fulham-indian-r727206#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Indian Zing,"236 King Street, London, W6 ORF, W6 0RF, London",Indian,30,9.3,417,20,https://www.thefork.co.uk/restaurant/indian-zing-r692057#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Fitzroy Wine Cellar & Kitchen,"86 Cleveland Street, W1T 6NQ, London",Italian,35,8.8,880,50,https://www.thefork.co.uk/restaurant/fitzroy-wine-cellar-kitchen-r659183#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Caribbean Classic,"7 Ace Parade, KT9 1DR, London",Caribbean,19,7.4,9,50,https://www.thefork.co.uk/restaurant/caribbean-classic-r849344#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
